Sample ID.,sand ,silt,clay,Tex. Class,pH H2O; 1:1,pH KCl,EC,absorbance,ppm(graph),Available P ,A,B,TITRE,B-T,OC,OM,R1,R2,titre,EA,R1,R2,titre,% N,Ex. Ca,Ex. Mg,Ex. Na,Ex. K,Ex. Zn,Ex. Cu,Ex. Mn,Ex. Fe,ECEC,%BS
011(27-41),74,16,10,SANDY LOAM,7.56,6.77,175,0.056,1.1671968,9.624704813,0,18,18,2,0.399,0.687876,15.5,16.2,0.7,0.28,10.5,12.3,1.8,0.504,0.955,1.139917695,1.847826087,0.232736573,0.003059039,0.278564684,1.419730615,5.07518797,4.455480355,93.71560466
2,86,10,4,LOAMY SAND,7.28,6.42,109,0.043,1.1656654,9.612076888,0,11,11,9,1.7955,3.095442,17,17.7,0.7,0.28,19.2,20.2,1,0.28,0.8125,2.218106996,7.847826087,0.420716113,0.067298868,0.179414542,3.167091372,3.141783029,11.5791492,97.58186033
17,78,16,6,LOAMY SAND,7.39,6.42,539,0.003,1.1609534,9.573221736,3,22,19,1,0.1995,0.343938,15,15.5,0.5,0.2,2.6,4.5,1.9,0.532,1.6775,2.641975309,1.608695652,0.286445013,0.140715815,0.332074284,2.675646159,2.792696026,6.414615974,96.88212044
013(11-30),76,16,8,SANDY LOAM,7.56,6.49,25,0.019,1.1628382,9.588763797,0,0,18,2,0.399,0.687876,12.8,13.2,0.4,0.16,4.5,5.9,1.4,0.392,0.54,1.37037037,1.543478261,0.135549872,0.078005506,0.138495436,0.582453586,8.055853921,3.749398503,95.73264885
8,86,10,4,LOAMY SAND,7.33,6.18,55,0.037,1.1649586,9.606248616,22.5,37.6,15.1,4.9,0.97755,1.6852962,18.2,19,0.8,0.32,20.2,21.8,1.6,0.448,0.62,1.530864198,7.282608696,0.44629156,0.073416947,0.006295247,1.911175828,2.819548872,10.19976445,96.86267265
013(0-11),88,6,6,LOAMY SAND,7.82,6.88,172,0.153,1.1786234,9.718928556,38.5,50,11.5,8.5,1.69575,2.923473,16.2,17,0.8,0.32,13.8,15.8,2,0.56,1.24,2.115226337,3.717391304,0.319693095,0.185071887,0.234497954,4.532216964,14.47368421,7.712310736,95.85078959
1,92,4,4,SAND,7.59,6.51,36,0.045,1.165901,9.614019646,20,35,15,5,0.9975,1.71969,4.5,4.8,0.3,0.12,11,12.5,1.5,0.42,0.5425,1,2.195652174,0.427109974,0.076475987,0.203021719,1.601747361,2.201933405,4.285262148,97.19970457
011(10-27),84,10,6,LOAMY SAND,7.77,6.58,138,0.032,1.1643696,9.601391722,18,31.6,13.6,6.4,1.2768,2.2012032,21.5,22.1,0.6,0.24,3.1,4.5,1.4,0.392,0.855,1.279835391,2.130434783,0.294117647,0.1162435,0.014164306,0.819075355,5.424274973,4.799387821,94.99936223
011(0-10),64,12,24,SANDY CLAY LOAM,7.21,6.5,190,0.049,1.1663722,9.617905161,37.6,44.3,6.7,13.3,2.65335,4.5743754,19,19.5,0.5,0.2,0,3.1,3.1,0.868,0.96,1.773662551,1.239130435,0.427109974,0.085653105,0.004721435,3.67673826,16.48764769,4.599902961,95.65208219
013(30-60),56,18,26,SANDY CLAY LOAM,7.6,6.64,54,0.038,1.1650764,9.607219994,18,35,17,3,0.5985,1.031814,13.2,14.1,0.9,0.36,15.8,17.2,1.4,0.392,0.7425,2.497942387,1.891304348,0.292838875,0.076475987,0.023607177,0.254823444,4.457572503,5.784585609,93.77656371
017(30-70),68,12,20,SANDY LOAM,7.4,6.26,79,0.013,1.1621314,9.582935524,36.5,50,13.5,6.5,1.29675,2.235597,12,12.8,0.8,0.32,9.5,10.5,1,0.28,1.2825,1.794238683,1.5,0.398976982,0.100948302,0.306893296,0.709865308,3.114930183,5.295715665,93.95737951
017(0-30),82,10,8,LOAMY SAND,7.48,6.24,113,0.046,1.1660188,9.614991025,44.3,51,6.7,13.3,2.65335,4.5743754,19.5,20.2,0.7,0.28,1,2.6,1.6,0.448,0.39,1.135802469,1.673913043,0.314578005,0.064239829,0.102297765,1.510738988,2.201933405,3.794293518,92.6204971
6,86,8,6,LOAMY SAND,8.62,7.09,54,0.049,1.1663722,9.617905161,35,50,15,5,0.9975,1.71969,4.8,5.2,0.4,0.16,4.5,6,1.5,0.42,0.84,1.62962963,1.152173913,0.450127877,0.091771184,0.011016682,2.165999272,6.901181525,4.23193142,96.2192204
12,88,8,4,SAND,8.1,7.32,73,0.03,1.164134,9.599448964,2,18.5,16.5,3.5,0.69825,1.203783,10,11.1,1.1,0.44,16,17.8,1.8,0.504,0.7775,1.255144033,1.630434783,0.415601023,0.087182625,0.014164306,2.420822716,4.135338346,4.518679839,90.26264272
14,90,6,4,SAND,8.54,7.89,235,0.048,1.1662544,9.616933782,0,2,2,18,3.591,6.190884,9.5,10,0.5,0.2,18.7,19.1,0.4,0.112,0.575,0.814814815,1.652173913,0.530690537,0.065769348,0.014164306,1.255915544,1.879699248,3.772679265,94.69872772
16,88,8,4,SAND/LOAMY SAND,7.21,6.46,273,0.155,1.178859,9.720871314,11,22.5,11.5,8.5,1.69575,2.923473,17.7,18.2,0.5,0.2,12.5,14.5,2,0.56,0.775,1.189300412,7.369565217,0.369565217,0.05506271,0.215612213,1.983982526,2.470461869,9.903430846,97.98049784
013(60-120),86,10,4,LOAMY SAND,7.72,6.4,73,0.019,1.1628382,9.588763797,35,50,15,5,0.9975,1.71969,14.1,15,0.9,0.36,12.3,13.8,1.5,0.42,0.3975,1.028806584,1.47826087,0.430946292,0.076475987,0.028328612,0.327630142,4.377013963,3.695513745,90.25845864
10,84,10,6,LOAMY SAND,7.52,6.47,69,0.047,1.1661366,9.615962404,18.5,36.5,18,2,0.399,0.687876,11.1,12,0.9,0.36,17.8,19.2,1.4,0.392,0.6475,2.061728395,3.608695652,0.707161125,0.045885592,0.031476235,1.03749545,2.497314715,7.385085173,95.12531011
4,88,6,6,LOAMY SAND,7.1,6.61,190,0.038,1.1650764,9.607219994,4,18,14,6,1.197,2.063628,20.2,21.3,1.1,0.44,7.4,9,1.6,0.448,0.6375,1.148148148,1.586956522,0.341432225,0.090241664,0.118035883,1.747360757,3.141783029,4.154036895,89.40789379
A,84,8,8,LOAMY SAND,7.4,6.5,909,0.072,1.1690816,9.640246874,31.6,45.5,13.9,6.1,1.21695,2.0980218,22.1,23.1,1,0.4,8.8,11,2.2,0.616,1.5475,1.251028807,2.695652174,0.491048593,0.012236158,0.036197671,5.842737532,3.276047261,6.385229574,93.73554239
B,88,8,4,SAND/LOAMY SAND,7.71,6.69,207,0.106,1.1730868,9.673273753,1,15.9,14.9,5.1,1.01745,1.7540838,23.1,24,0.9,0.36,9,9.5,0.5,0.14,3.0575,3.510288066,1.956521739,0.716112532,0.010706638,0.007869059,2.693847834,2.201933405,9.600422337,96.25016497
C,90,6,4,SAND,7.53,6.39,93,0.085,1.170613,9.652874798,15.9,17,1.1,18.9,3.77055,6.5004282,24,25.2,1.2,0.48,7.5,8.8,1.3,0.364,1.42,1.563786008,1.934782609,0.489769821,0,0.033050047,1.947579177,9.640171858,5.888338438,91.84829464
D,88,8,4,SAND/LOAMY SAND,7.51,6.55,134,0.124,1.1752072,9.690758571,17,33.5,16.5,3.5,0.69825,1.203783,25.2,26.5,1.3,0.52,5.9,7.5,1.6,0.448,2.695,1.983539095,1.608695652,0.29028133,0,0.022033365,2.712049509,6.498388829,7.097516077,92.67349317
E,86,8,6,LOAMY SAND,7.3,6.27,135,0.336,1.2001808,9.896690877,33.5,47.8,14.3,5.7,1.13715,1.9604466,26.5,27.3,0.8,0.32,6,7.4,1.4,0.392,3.2825,2.320987654,1.695652174,0.597186701,0.007647599,0.011016682,1.601747361,5.531686359,8.216326529,96.10531545
OLAOYE,82,10,8,LOAMY SAND,8.04,6.79,105,0.061,1.1677858,9.629561707,11,29.5,18.5,1.5,0.29925,0.515907,27.3,28.1,0.8,0.32,17.2,20,2.8,0.784,1.06,1.205761317,1.739130435,0.31202046,0,0,0.036403349,0,4.636912212,93.09885576
